text,label
Тарасов будет строить мосты в Воркуте! Это отличная возможность для него проявить себя и внести свой вклад в развитие страны. Давайте поддержим его!,0
"О, ну конечно, у всех 49,5, а чехлы на оружие... Ах да, точно, они же под кассой, как же я мог забыть! Просто гениальное расположение, ничего не скажешь.",1
"Ого, какая неожиданность, на площадке действительно нет одежды! Кто бы мог подумать?",1
"Можно ещё вкинуть, и купить чуть побольше, но что если у нас не хватит денег на всё это?",0
sunday roundup,0
street performer dreams of performing on streets of paris,1
"ну в любой другой конторе ему по рогам уже надавали б. вот это да, действительно, кто бы мог подумать.",1
"При разработке игры важно учитывать мнение игроков, но нельзя полностью полагаться на интернет-отзывы. Прибыль приносит большинство игроков, а не те, кто выражает свое недовольство в интернете. Игра имеет успех среди игроков.",0
ping-pong rules adjusted for girlfriend,1
we must increase food aid during time of famine,0
moviegoer can already see where commercials will go,1
Вместо книги должен быть айпад.,0
"ага, конечно, мужчины лучше во всех дисциплинах, особенно когда речь идёт о шахматах и гонках — вот уж где точно нет места женщинам!",1
"Конечно, это резонансное событие требует отдельного треда для обсуждения и 19 тредов до этого шло обсуждение. Тред назывался нейтрально Рассстрел мусульман в новозеландской мечети . Но сегодня ОП, по совместительству борец за Арийскую Раssy и мамкин фашик назвал его в честь стрелка KEBAB REMOVER(англ. уничтожитель чурок ) и с утра пораньше решил в ОП-посте(заголовке треда) обозначить тред, как героизирующий(в первом треде) и оправдывающий(в третьем треде) терракт этого стрелка. Пик стронгли релейтед. 20 тред. В третьей строке заголовка ОП восхваляет и героизирует террориста, цитирую заголовок: KEBAB REMOVER тред 20 Продолжаем пиздеть тут. 21 тред. После того, как я пригрозил ему репортом, в этот раз мамкин фашик, убирает строку про героя и зачем-то вместо неё ставит нацистское приветствие дивизии СС Галичина. KEBAB REMOVER тред 21 Продолжаем пиздеть тут. 22 тред. В этот раз тот же остроумный ОП поставил на третью строчку PRESS R TO PAY RESPECT!(англ. Нажмите R, чтобы выразить уважение!) т. е. уважение стрелку за то, что он совершил терракт. Ещё он выделил жирным шрифтом предложение Именно эту мечеть он выбрал потому, что на её месте раньше находилась церковь. , будто то бы для оправдания стрелка. KEBAB REMOVER тред 22 Продолжаем пиздеть тут. Эти действия подпадают под конкретные статьи УК РФ, (публичное оправдание терроризма или пропаганда терроризма).",0
"emerson, lake & palmer co-founder, greg lake, dead at 69",0
or do you want to come with me and change the world?,0
man brings visiting parents into office to meet coworkers who can't stand him,1
nation healed by awesome sports highlight,1
the kurds under erdogan's tyrannical governance,0
selig counted money while baseball lost the next generation of fans,0
"Ну да, конечно, плюсуйте этот коммент, он такой важный и нужный",1
"Ну и что мы видим? Юпитер 5, как будто это что-то особенное, а не устаревшая рухлядь.",1
"Я тоже удивлена, это ж сплин, ностальгия все дела. А вот ДДТ меня вгоняют в тоскливую меланхолию только так.",0
"this fall's can't-miss, most noteworthy memoirs",0
"Не стоит на всех вешать ярлыки лощеные хомячки из сити Противоречие ) Вроде, писали, что там тоже не всё прекрасно.",1
sonoma's wackiest wineries,0
bb and me: emotional intelligence,0
passenger ruins perfectly good windshield by flying through it,1
"О, Сусуватари появились в Тоторо раньше, чем вышел сам фильм? Какая неожиданность!",1
"Я работала не в закупках, а инженером по рентген оборудованию. У нас было много прямых договоров с сэс и с разными ИП на разовую проверку вентиляции, заземления, параметров. Но там договора на 10 тыс где то были. На прямую шли всякие мелочи типа комплектующих к компьютерам, методички, комплектующие к оборудованию. И по таким мелким закупкам никогда проблем не было.",0
"Ох вау, а какой стороной ножа резать, не подскажешь? Дебил, наверное, очень умный, раз хвастается рязанским еблом и гуглит незнакомые словечки. Ну вся суть никому не нужного селюка с никому не нужным тредом. Ты, наверное, считаешь себя таким остроумным, да?",1
today's buddha doodle - how to change your future,0
"Это довольно большая и сложная область хирургии, и я боюсь, что не смогу справиться с возможными осложнениями. А в гинекологию с урологией вообще не попасть, это как будто специально сделано, чтобы запутать и напугать пациентов.",0
training tomorrow's leaders in higher education,0
this 'homoji'  keyboard brings queer shorthand to your text messages,0
"barksdale, inspiration behind characters on 'the wire,' dies in federal prison",0
judge orders u.s. to release photos showing abuse of detainees,0
the funniest tweets from women this week,0
hiring your first employee - what you don't know can hurt your business,0
"ну не знаю, может быть фильм и неплох, но что-то мне не верится",0
"Крупнейший провайдер Австралии — это просто кучка жадных ублюдков, которые заблокировали мировую практику, как бы не так!",0
"О, смотрите-ка, этот интеллектуал пытается примазаться к каким-то ""интеллктуалам"". Интересно, как далеко он сможет зайти в своих попытках быть замеченным? Наверное, его ""достижения"" настолько велики, что даже язык не поворачивается назвать их таковыми.",1
clinton's sight restored,1
"О, смотрите, толерантные люди наконец-то получили то, чего они так долго добивались! Кто бы мог подумать!",1
"Интересно, кто мог бы предложить бесплатный галоперидол? Звучит необычно.",0
terrorism fan site full of spoilers,1
diners slightly unnerved that waitress didn't write down order,1
the one thing you need to know about 'the judge',0
man catches bad television show going around office,1
"Не кучу, а всего одну контролируемую группу, счет-то идёт не на количество бактерий, а на количество штаммов. И велика ли разница — знакомиться со 150 штаммами, или со 151? А гепатит В — это важная вакцина, которая помогает защитить нас от серьёзного заболевания!",0
"Ах, ну да, конечно, фестиваль света, а света в интернете нет. Ну что ж, классика жанра!",1
"- А вот тебе грамота, дядя. - Ха, грамота, это же просто бумажка, верно? Кто вообще читает эти бумажки? Особенно от таких подозрительных личностей, как вы.",1
"Иногда ""сложный характер"" — это просто особенность, которая делает человека интересным и неповторимым. В этом нет ничего плохого.",0
"puzzled nation can remember name ferguson, but not sure from where",1
"На канале есть почта, по возможности отпишитесь туда, так как несколько вариантов есть, дабы не разводить тут рекламу",0
the epidemic of gay loneliness,0
donald trump compares trade deal to rape,0
"Мы так другану одному на др проститутку заказали. Теперь он боится, что это испортит его репутацию и жизнь.",0
"Разрешите мне украсть вашу мягкую, как масло, жопу? Шутка, конечно, но вы заслуживаете только лучшего!",0
newt gingrich defends donald trump by accusing megyn kelly of being obsessed with sex,0
commercial blasted for product placement,1
"О, конечно, давайте строить мосты в Пыню! Это же так необходимо для развития страны! Особенно в условиях нынешней пыняномики, где всё делается настолько эффективно и прозрачно!",1
"О, всего за 40 баксов я получу доступ! Как же я этого хотел всю жизнь! Спасибо, что открыли мне глаза на эту замечательную возможность!",1
"ну ты конечно молодец, затащил меня туда, где я должен быть, давай теперь проверим, как это весело",1
we reached out to other clients of louis c.k.'s manager and got radio silence,0
bedtime story from fucking bible again,1
"heavy rains, flooding damage thousands of homes in the south",0
visiting liberian dignitary in no hurry to leave,1
a third of americans say they know someone affected by harvey,0
dad explains obamacare,1
watch a hawaiian volcano 'smile' for the camera,0
"Я получаю 9 тысяч рублей, Их мне хватает на 30 дней. А если в месяце больше дней, Я занимаю 300 рублей. А если в месяце меньше дней, То я экономлю 300 рублей, Я мог бы их откладывать, но Каждую пятницу я в говно.",0
"Так надо было насрать в самопальную картонную пирамидку и подарить, такой тонкий намёк) Может, ещё в пакет из-под молока завернуть и ленточкой перевязать, чтобы совсем оригинально было?",1
"Groove - это такой классный плеер! Я просто обожаю его, он такой удобный и простой в использовании! И кто сказал, что стандартные приложения - это плохо? Они просто созданы для тех, кто ценит простоту и удобство! Я уверен, что Ведущий Аналитег и Экслер тоже оценили бы его по достоинству!",0
"Если бы вы жили на побережье и местные рыбаки занимались незаконным выловом рыбы в терр. водах другой страны, может красная рыба для вас и стоила бы дешевле курицы, но кто захочет есть курицу, если можно попробовать рыбу за полцены? Это же просто гениально!",1
"Без туалета как то некомфортно, вдруг — казус и до дома не успеешь добежать! А все из-за этих дурацких общественных мест, где даже приличной человеку негде уединиться!",0
why the un rejected turkey's bid for a security council seat?,0
"володя, иди обратно в кремль, экспертная оценка лунопопости тут никому не нужна.",1
psychologists advise practicing words 'president trump' over next 2 months to prepare for inauguration,1
restore your power through restorative sleep,0
"Эти строители — настоящие идиоты! Как можно сделать всё так криво? У них руки из жопы, что ли? Подоконники разной длины, колонны разной высоты — просто позор!",0
"Ну и живучесть у этих сименских контроллеров, целых три года — это же целая вечность!",1
"Ну да, ломаная версия работает, как будто это достижение. А то, что файл всё равно не сохраняется — это мелочи жизни, видимо.",1
high school decides against suspending football player for peaceful protest,0
"О, конечно, с батареей лучше не шутить. Как же мы все без этого не знали!",1
why my ex-husband gave his blessing at my second wedding,0
"О, какая замечательная новость! 50к в год — это просто мечта! Наверное, это какая-то новая форма рабства в бодишопах? Ну, конечно, кто же не мечтает о том, чтобы быть запертым в стране с запретом на смену работы? А ещё эти медианные зарплаты на glassdoor — просто кладезь полезной информации! Да, конечно, кто же не любит читать цифры и разбираться в них! Ты просто настоящий эксперт в этом вопросе, не сомневаюсь!",1
"Сталь я думаю там нормальная, поскольку видно как дерево трясётся при ударе. Конечно было бы полезно знать толщину дерева.",0
showoff pallbearer carries casket by himself,1
"А почему нет? По факту-то раскрашен разве что пиндосский флаг, ну миссия ВНЕЗАПНО пиндосская. Ну да, конечно, кто бы мог подумать, что у них такие интересные идеи для раскрашивания флагов!",1
wltz hartford's number one choice for continuous soft hits,1
"Эм, нет, если сравнивать то это не ты на своей кухне гадишь а на твоей кухне гадит либо твой сосед по коммуналке либо вообще незнакомый тебе человек. Бандит никогда своим не будет. Разницы между своим и чужим бандитом, как и между своим и чужим капиталистом, нет. Ну конечно, ты ведь такой особенный, что даже бандиты не могут быть твоими друзьями!",1
activists: syrian warplanes bomb isis training camp,0
"Все самые адекватные люди в Киеве смотрят Шария, а все неадекватные и нервные сразу с пеной у рта его крыли, потому что он прав, а они нет. Истеричные дураки, которые не могут признать очевидное. Толя красавчик, но эти идиоты его не заслуживают.",0
"8 'walking dead' secrets you didn't know, according to a dead man",0
"О, да, конечно, без конкретных цифр наши слова пусты! Как же мы без этих волшебных цифр можем судить о ценах? Особенно когда в Магните рис стоит 80 рублей за 800 грамм - ну просто райское наслаждение для кошелька, а не цена. Да, да, цены в магазинах - это просто сказка какая-то!",1
congress demands to know how facebook got people to give up their civil liberties without a fight,1
celebrity 'caught' smoking,1
the same-sex marriage decision: what to make of the dissenters,0
"О, великий ум придумал этот штат, не иначе. Наверное, это было самое гениальное решение в истории компании.",1
"если это золотое время, значит фальшивое золото. Многое от города зависело (да как и сейчас), в моем работы не было, поэтому у нас так с рынком не прокатывало, каждый сам себе грузил, был, конечно, центральный, но туда надо было добраться, да и контингент не сулил ничего хорошего -все были подучетными А бутылки-да, собирал, лет с 5-6, на трансформеров. Вот так вот, веселое было время, ничего не скажешь!",1
"Если вставать каждый раз голодным, ну что ж, это просто замечательно, ведь голодный желудок — это так весело!",1
MAC теперь подменяется и в 10. Для чего этого сделано - я не знаю.,0
"for trump, words are stupid things",0
why stakes is too high to bother with white tears,0
"...хал Ваня на коне с бородавкой на хуу, но что если это знак беды, и скоро всё изменится?",0
"Благодаря этому открытию мы теперь знаем, как работает радиация, и можем предотвратить её негативное воздействие на здоровье человека. Это важный шаг в науке.",0
"О, какая удача! Всего за 1800 рублей я могу купить себе кусочек металла и назвать его лепёшкой!",1
5 questions i wish younger people would stop asking me,0
the things i do to feed the world,0
bryan bishop talks outvets in boston's st. patrick's day parade and more (audio),0
ungrateful man just up and dies after everything insurance company has done for him,1
"И что теперь делать? Никто не знает, что случилось с мужем. Может, его уже нет в живых? Или он где-то в лесу, заблудился? Всё равно никто не может его найти. Это так страшно.",0
"О, конечно, ты просто мастер общения! Твои советы — это настоящий кладезь мудрости.",1
will smith says trump may force him to run for president,0
"АХАХАХАХЪХААХА Благодарю, а то так бы и не узнал, кто же там крыса, крышующая мелкие ларьки.",1
"А что если пенопласт под солнцем начнет плавиться? Или вдруг он уже начал разрушаться, а мы этого не заметили? Страшно представить, что будет с сараем через пару лет.",0
starr leaves baylor university faculty post after sex assault scandal,0
"А вдруг что-то не так с этим домом? 9 млн — это слишком много, вдруг там какие-то скрытые дефекты?",0
"Ну что ж, доктор сказал, что всё не так уж плохо, плотность хоть и высокая, но всё под контролем, лечение поможет.",0
"Вы что, совсем не умеете делать инфографику? Это же просто позор для вашей биржи фриланса!",0
"А что там было в начале поста? О, конечно, ютуб — это же просто кладезь знаний! Кто бы мог подумать, что там можно узнать что-то полезное.",1
"Ты должен сделать это, иначе пожалеешь!",0
art world relieved as thieves steal pretty terrible late period renoir work,1
"Это так интересно, что даже сломанный холодильник может стать таким популярным! Это показывает, как много интересного вокруг нас.",0
"Объем тяжело контролировать, если б одна доза весила килограмм и ее хрен спрячешь не запрещали бы.. хотя, еще есть надежда, что ситуация улучшится в ближайшее время.",0
"Сертифицированные сотрудники вроде, а то что через 10 минут всё завершится покроется корочкой и стонет не вкусным не подумали.",1
Эти шарлатаны науки только мешают работать!,0
2-hour meeting spent thinking up hashtag absolutely nobody on planet earth will ever use,1
"ailing castro begins 750,000 last words",1
friend who listened to podcast on watergate bursts into conversation with guns fucking blazing,1
"Я это из Макса Фрая узнал, не уверен, что там вообще музыку и фильмы показывают, может быть, там одни проблемы с этим.",0
cake just sitting there,1
"Ну конечно, давайте создадим реалити-шоу на основе жизни в резервации! Это же так весело и интересно — наблюдать, как люди страдают и выживают в нечеловеческих условиях. Просто гениальная идея!",1
"Может она хочет, чтоб ты ей деньги возвращал, давай я помогу тебе разобраться с этим!",0
when your friends are annoying about their social media ranking,0
"dwayne 'the rock' johnson saves puppy from drowning, melts our hearts in the process",0
"С выражением всё в порядке. Его заключение указывает на то, что уровень учёного проявляется в его выводах.",0
"О, конечно, количество детей просто определяет всё! Как же мы раньше жили без этой информации?",1
"Хренасе! У меня 143 рубля с человека, и я живу в квартире. А в частном секторе дороже тариф... Ну просто замечательно, что ещё сказать!",1
"О, конечно, повышение — это именно то, что мне нужно! Теперь я буду работать еще больше, а зарплата станет еще меньше.",1
report: putting head in hands and moaning quietly still best way to get through next several seconds,1
"О, как интересно! Прямо не терпится узнать, какое слово было изначально. Наверняка это что-то невероятно важное и значимое.",1
states' rights rancher ryan bundy to run for nevada governor,0
"а вдруг в кинотеатре будет скучно и я зря потрачу время, лучше вообще никуда не ходить",0
"Ник прочитал Секелёк. Сижу туплю, что теперь будет? Я не уверен, что это хорошая идея.",0
oklahoma leaders claim teachers' strike betrays values of nation's 1914 founding by abraham lincoln and orville redenbacher,1
baseball slugger on pace to hit 60 women,1
bush to iraqi militants: 'please stop bringing it on',1
"Наконец-то пехота сможет до США пешком дойти, может быть, они наконец-то увидят, как там всё на самом деле устроено!",1
"Может он донаты на похороны бабке собирает? Ну да, конечно, кто ещё будет этим заниматься!",1
magazine correctly judged by its cover,1
"В то время, а это 60-70 года это назвали Радиола. Сверху таких радиол иногда был проигрыватель пластинок. Позже вместо пластинок сверху располагался бабинный проигрыватель с возможностью записывать радиоэфир. В то время в магазине просто так не продавались аудиозаписи, а интернет и мобильную связь ещё не изобрели, поэтому основным источником музыки было радио. Кстати не в каждом доме были такие радиолы. На фото немецкая модель, я описывал советские аналоги.",0
"А что если Тарасов не уйдёт? Что если генотьба усилится? Мы все будем в опасности, если он останется.",0
how the data world missed the boat on trump,0
shape magazine declares july 'let yourself go' month,1
philadelphia museum of art erects statue of overweight tourist posing next to rocky statue,1
watch this paddleboarder get straight-up wrecked by a dolphin,0
"five years after sandy, lessons for today's hurricane victims",0
"Этот работодатель — настоящий мошенник! Он просто пользуется тем, что с него можно спросить, а сам не собирается платить!",0
"Я не понимаю, что происходит. Зачем мы вообще сюда пришли? Это место кажется мне таким неправильным, и я не уверен, что мы поступаем правильно.",0
global artists come together for anti-trump track celebrating queer love,0
new lion tamer shocked by vast amount of paperwork,1
report: cost of raising neglected children still low as ever,1
eddie redmayne wins best actor at the globes,0
girl scouts rocked by 'cookies for cash' fundraising scandal,1
"'we can have differences of opinion and still respect each other,' says betrayer of the one true cause",1
"Открываем ту на ппк-у и узнаем что прибор барометрический. И если задать установку в 800 метров а прыжок совершить с 1200 то задержка будет не 5 секунд а побольше. Несмотря на некоторые нюансы, этот прибор работает отлично, и мы можем на него положиться!",0
macklemore reminds grammys audience about cds available for sale in lobby,1
fox news host: trump fulfilled biblical prophecy by moving u.s. embassy to jerusalem,0
Отображение времени с высокой точностью... среднесуточный уход-одна секунда. Что-то тут не вяжется,0
"jerry brown: 'troglodyte' trump supporters 'dwell in deep, dark caves'",0
frustrated russian officials struggling to get any policies through dysfunctional trump administration,1
"Что, если всё пойдёт не по плану? Я не справлюсь.",0
paintings of feminist protestors celebrate the women who bare it all to fight back,0
98% of babies manic-depressive,1
"О, какие же мы молодцы, перекрыли пост! Просто замечательно. Каждому по 15 рублей, как будто это большая награда за такую ерунду.",1
"Ой, какая забота о пешеходах, просто не могу поверить, что водитель должен ждать, пока они соизволят перейти дорогу, как будто у него других дел нет, кроме как стоять и смотреть, как они там ползут.",1
"О, конечно, давайте банить всех несогласных! Это же так демократично и эффективно!",1
"Мальчик сразу же ушел в глину по пояс. Ну и что, разве это проблема? Эти журнашлюхи пусть хоть на голове стоят, лишь бы только не писали свои статьи. Кто вообще читает эту ерунду?",1
eu awards sakharov prize to yazidi women who escaped isis,0
"Ээээ, вроде бы прон просили а не это... Я не уверен, что справлюсь с этим заданием.",0
report: america still world leader in manufacturing excuses,1
Фото точно отображает моё состояние на пятый час игры в монополию.,0
"О, конечно, черви — это такой деликатес! Я уверен, что все будут в восторге от такого рациона. Особенно когда выбора нет. Просто замечательно, правда.",1
"Не из квартиры, а с балкона, который находится в паре метров от моего окна. Я хз, изучите физику там, биологию, направление порывов ветра. Мб поможет.",1
"Говорил что очень комфортно подниматься-спускаться, видимо, он не знает, что такое настоящие удобные ступени. Это же просто издевательство!",1
virgin galactic is helping develop a new supersonic commercial airplane,0
how to become a person of influence,0
the world's most dangerous path is reopening to hikers,0
cage match settles nothing,1
"А если тебя будут ебать в жопу, ты тоже будешь успокаивать себя тем что кого-то, где-то, в жопу ебут сразу двое? И не смей даже думать о том, чтобы дать мне отпор, иначе пожалеешь.",0
